曲线开始时间: ,,,Thu Apr 16 04:09:01 2009,,,,,,,,
,,,,,,,,,,,
产品名称: ,,,Reflow Demo,,,,,,,,
制程界限名称: ,,,System Default,,,,,,,,
炉子名称: ,,,8 Zone Oven,,,,,,,,
制程界限描述: ,,,Enter your Process Spec description here...,,,,,,,,
炉子食谱名称: ,,,,,,,,,,,
温度曲线描述: ,,,Maximize Conveyor Speed (Actual),,,,,,,,
产品长度 (英寸): ,,,0,,,,,,,,
产品阔度 (英寸): ,,,0,,,,,,,,
产品重量 (克): ,,,0,,,,,,,,
传送带速度单位: ,,,英寸/分,,,,,,,,
温度标度: ,,,摄氏度,,,,,,,,
SetpointAlignmentMethod=0,,,PercentageOfProfileToLookForFirstZone=33,,,,,,,,
MaxSlopeWidthInPointsToAlignSetpoints=5,,,,,MinFirstSetpointPosition=0.0,,,,,MaxFirstSetpointPosition=25.0,
fAirTCPeakShouldBeTheHottestByAtleastThisManyDegrees=5.0,,,,,fAirTCIncreasedByThisManyDegrees=0.0,,,,,,
fReportAnErrorIfAirTCPeakIsCoolerByMoreThanThisManyDegrees=10.0,,,,,,,,,,,
,,,,,,,,,,,
固化界限大小(秒)= 60,,,,固化界限大小(度)=6.0,,,,,温度曲线种类:锡膏回流,,
"有效热电偶=2, 3, 4, ",,,炉子长度=171.42,,,温区设定数量=8,,,,,
,,,,,,,,,,,
曲线最佳化设置:,,,,,,,,,,,
,允许温区温度变化=1,,,,,,,,,,
,允许传送带速度变化=1,,,,最低传送带速度=5.0,,,,最高传送带速度=60.0,,
,Navigator 计算方式= 最低化制程界限指数(PWI),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
39.25,113.23,71.23,63.28,52.28,30.17,111.63,184.59,163.73,159.62,,
39.5,113.28,71.34,63.45,52.51,30.17,112.34,184.51,163.73,160.83,,
39.75,113.4,71.56,63.56,52.67,30.17,113.05,185.13,163.73,162.11,,
40,113.4,71.73,63.73,52.84,30.17,113.76,186.25,163.73,163.58,,
40.25,113.73,71.9,63.95,53.12,30.17,114.47,187.83,163.73,164.85,,
40.5,113.95,72.12,64.12,53.4,30.17,115.18,188.7,164.1,165.48,,
40.75,114.45,72.28,64.34,53.56,30.17,115.89,189.17,164.36,165.99,,
41,114.67,72.45,64.45,53.67,30.17,116.6,190.4,164.85,166.59,,
41.25,115.17,72.78,64.67,54.01,30.17,117.32,191.02,165.27,167.63,,
41.5,115.51,72.95,64.84,54.17,30.17,118.03,191.14,165.72,168.41,,
41.75,115.95,73.17,65.06,54.34,30.17,118.74,191.34,166.25,168.88,,
42,116.28,73.4,65.23,54.51,30.17,119.45,191.44,166.82,169.25,,
42.25,116.84,73.67,65.45,54.73,30.17,120.16,191.52,167.35,169.68,,
42.5,117.06,73.78,65.56,54.95,30.17,120.87,191.62,168.11,170.59,,
42.75,117.84,74.01,65.78,55.12,30.17,121.58,191.91,168.89,171.19,,
43,118.23,74.12,65.9,55.28,30.17,122.29,191.76,169.5,171.63,,
43.25,118.51,74.34,66.06,55.56,30.17,123,191.45,170.2,171.84,,
43.5,118.62,74.62,66.17,55.78,30.17,123.71,191.56,170.73,172.24,,
43.75,118.56,74.84,66.4,56.01,30.17,124.43,191.77,171.26,172.98,,
44,118.62,74.95,66.45,56.23,30.17,125.14,191.78,171.96,173.51,,
44.25,118.9,75.12,66.56,56.45,30.17,125.85,191.59,173.45,173.85,,
44.5,119.4,75.4,66.73,56.73,30.17,126.56,191.48,175.25,173.95,,
44.75,119.62,75.56,66.9,57.01,30.17,127.27,191.4,176.64,174.07,,
45,119.67,75.78,66.95,57.17,30.17,127.98,191.78,177.46,174.01,,
45.25,120.12,76.01,67.12,57.45,30.17,128.69,192.1,178.04,174.12,,
45.5,120.45,76.17,67.28,57.67,30.17,129.4,192.21,178.63,174.26,,
45.75,120.51,76.4,67.51,57.84,30.17,130.11,192.59,179.14,174.48,,
46,120.78,76.56,67.78,58.12,30.17,130.82,193.96,179.75,174.63,,
46.25,120.9,76.73,68.12,58.34,30.17,131.54,195.92,180.32,174.97,,
46.5,121.12,76.95,68.51,58.56,30.17,132.25,196.84,180.69,175.23,,
46.75,121.12,77.12,68.9,58.73,30.17,132.96,198.19,181.22,175.44,,
47,121.12,77.34,69.45,58.9,30.17,133.67,199.71,181.39,175.9,,
47.25,121.12,77.73,70.01,59.28,30.17,134.38,201.4,181.67,176.17,,
47.5,121.12,77.9,70.45,59.67,30.17,135.09,204.14,181.51,176.53,,
47.75,121.28,78.23,71.01,59.9,30.17,135.8,205.12,181.64,176.86,,
48,121.56,78.56,71.56,60.17,30.17,136.51,205.86,181.68,177.23,,
48.25,121.56,78.9,72.23,60.4,30.17,137.22,208.12,181.78,177.88,,
48.5,121.51,79.28,72.95,60.62,30.17,137.93,209.79,182,178.79,,
48.75,122.06,79.67,73.67,60.95,30.17,138.65,211.86,182.21,180.16,,
49,122.56,80.12,74.62,61.12,30.17,139.36,214.31,182.48,181.55,,
49.25,122.73,80.51,75.4,61.34,30.17,140.07,217.77,182.88,183.39,,
49.5,122.84,81.01,76.28,61.67,30.17,140.78,221.41,183.42,185.33,,
49.75,123.06,81.45,77.01,61.95,30.17,141.49,222.76,184.04,186.38,,
50,123.06,81.95,77.73,62.17,30.17,142.2,224.44,184.99,186.92,,
50.25,123.23,82.34,78.28,62.4,30.17,142.91,226.76,185.88,187.39,,
50.5,123.01,82.73,78.73,62.67,30.17,143.62,228.67,187.14,188.08,,
50.75,122.9,83.23,79.17,63.01,30.17,144.33,230.06,188.25,189.1,,
51,123.06,83.56,79.73,63.34,30.17,145.04,231.93,189.46,189.57,,
51.25,122.95,84.06,80.12,63.73,30.17,145.76,232.34,190.86,189.73,,
51.5,123.17,84.62,80.51,64.17,30.17,146.47,233.02,192.4,189.83,,
51.75,123.56,85.12,80.78,64.51,30.12,147.18,233.66,193.66,190.46,,
52,123.73,85.62,81.17,65.01,30.17,147.89,234.02,194.87,191.58,,
